source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
ReClor,reading_comp_mcq,train_1281,The principal's response to Ms. Smith's complaint is most vulnerable to criticism on which one of the following grounds?,"Ms. Smith: I am upset that my son' s entire class lost two days of recess because some of the children were throwing raisins in the cafeteria. He was not throwing raisins, and it was clear to everyone just who the culprits were. Principal: I' m sorry you' re upset, Ms. Smith, but your son' s situation is like being caught in a traffic jam caused by an accident. People who aren' t involved in the accident nevertheless have to suffer by sitting there in the middle of it.","['A', 'B', 'C', 'D']","['It does not acknowledge the fact that a traffic jam following an accident is unavoidable while the mass punishment was avoidable.', 'It makes a generalization about all the children in the class which is not justified by the facts.', ""It assumes that Ms. Smith's son is guilty when there is evidence to the contrary which the principal has disregarded."", 'It suggests that throwing raisins in the cafeteria produces as much inconvenience as does being caught in a traffic jam.']",A,0,It does not acknowledge the fact that a traffic jam following an accident is unavoidable while the mass punishment was avoidable.,,,{}
SciQ,mcq_science,,What do light emitters do to what you see?,"Discussions of colors can sometimes become confusing because of the difference between light emitters and light absorbers. Light absorbers, such as dyes and pigments, absorb frequencies from those that you see, while light emitters add frequencies to what you see. If I were to shine red light, green light, and blue light into your eye all at the same time, you would likely see some variation of white. If I were to mix red paint, green paint, and blue paint together, you would likely see black or some very dark color.","['A', 'B', 'C', 'D']","['add frequencies', 'divide frequencies', 'subtract frequencies', 'block frequencies']",A,0,add frequencies,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MMLU,mcq,,"A blind boy sat on the steps of a building with a hat by his feet. He held up a sign which said, ""I am blind, please help."" There were only a few coins in the hat. A man was walking by. He took a few coins from his pocket and dropped them into the hat. He then took the sign, turned it around, and wrote some words. He put the sign back so that everyone who walked by would see the new words. Soon the hat began to fill up. A lot more people were giving money to the blind boy. That afternoon the man who had changed the sign came to see how things were. The boy heard his footsteps and asked, ""Were you the one who changed my sign this morning? What did you write?"" The man said, ""I only wrote the truth. I said what you said but in a different way."" What he had written was, "" Today is a beautiful day but I cannot see it."" Do you think the first sign and the second sign were saying the same thing? Of course, both signs told people the boy was blind. But the first sign simply told people to help by putting some money in the hat. The second sign told people that they were able to enjoy the beauty of the day, but the boy could not enjoy it because he was blind. The first sign simply said the boy was blind. The second sign told people they were so lucky that they were not blind. What can we learn from this passage?",,"['A', 'B', 'C', 'D']","[""It's helpful of us to help people in need."", 'There are many poor people in the world like the blind boy.', ""It's a good way to make money by holding a sign."", 'We should learn to speak to others in a suitable way.']",D,3,We should learn to speak to others in a suitable way.,,,{}
MedQA,mcq_medical,,"A 54-year-old male presents to clinic complaining that he is not sleeping well because he has to get up from bed to urinate multiple times throughout the night. He says that he strains to void, has terminal dribbling, and has urinary urgency. Past medical history is significant for orthostatic hypotension. On digital rectal exam, you note symmetric firm enlargement of the prostate. Free Prostate-Specific-Antigen (PSA) level is 4.6 ng/mL. Before you finish your physical exam, the patient asks if there is anything you can do for his male-pattern baldness. What is the mechanism of action of the drug that would pharmacologically treat this patient’s urinary issues and his male-pattern baldness?",step1,"['A', 'B', 'C', 'D']","['Alpha-1 blockade', 'Squalene epoxidase inhibition', '5-alpha reductase inhibition', '17,20-desmolase inhibition']",C,2,5-alpha reductase inhibition,,,"{'metamap_phrases': ['54 year old male presents', 'clinic', 'not sleeping well', 'to get', 'bed to', 'multiple times', 'night', 'strains to void', 'terminal dribbling', 'urinary urgency', 'Past medical history', 'significant', 'orthostatic hypotension', 'digital rectal exam', 'note symmetric firm enlargement of', 'prostate', 'Free', 'Specific-Antigen', 'level', '4.6 ng/mL', 'finish', 'physical exam', 'patient', 'male-pattern baldness', 'mechanism of action', 'drug', 'treat', 'patients urinary issues', 'male-pattern baldness']}"
MMLU,mcq,,"The year was 1932. Amelia Earhart was flying alone from North America to England in a small single--engine airplane. At midnight, several hours after she had left Newfoundland, she ran into bad weather. To make things worse, her altimeter failed.(The altimeter shows the height of the plane above the ground.) At night and in a storm, a pilot is in great difficulty without an altimeter. At times, her plane nearly plunged into the Atlantic Ocean. Just before daylight, there was further trouble. Amelia noticed flames coming from the engine. Would she be able to reach land? There was nothing to do except to keep going and to hope. Amelia Earhart did reach Ireland, and for the courage she had shown, she was warmly welcomed in England and the rest of Europe. When she returned to the United States, she was honored by President Hoover at a special dinner in the White House. From that time on, Amelia Earhart became famous. What was so important about her flight? Amelia Earhart was the first woman to fly the Atlantic Ocean alone, and she set a record of fourteen hours and fifty-six minutes. Amelia's flight was important because   _  .",,"['A', 'B', 'C', 'D']","['Amelia was a woman pilot', 'She set a record for the flight', 'Amelia was the first woman to fly across the Atlantic alone', 'Amelia was able to overcome the difficulties during the flight']",C,2,Amelia was the first woman to fly across the Atlantic alone,,,{}
MedQA,mcq_medical,,"A 52-year-old woman presents to the emergency room complaining of chest pain. She reports a 4-hour history of dull substernal pain radiating to her jaw. Her history is notable for hypertension, diabetes mellitus, and alcohol abuse. She has a 30 pack-year smoking history and takes lisinopril and metformin but has an allergy to aspirin. Her temperature is 99.1°F (37.3°C), blood pressure is 150/90 mmHg, pulse is 120/min, and respirations are 22/min. Physical examination reveals a diaphoretic and distressed woman. An electrocardiogram reveals ST elevations in leads I, aVL, and V5-6. She is admitted with plans for immediate transport to the catheterization lab for stent placement. What is the mechanism of the next medication that should be given to this patient?",step1,"['A', 'B', 'C', 'D']","['Thrombin inhibitor', 'Vitamin K epoxide reductase inhibitor', 'ADP receptor inhibitor', 'Cyclooxygenase activator']",C,2,ADP receptor inhibitor,,,"{'metamap_phrases': ['year old woman presents', 'emergency room', 'of chest pain', 'reports', '4-hour history', 'dull substernal pain radiating', 'jaw', 'history', 'notable', 'hypertension', 'diabetes mellitus', 'alcohol abuse', '30 pack-year smoking history', 'takes lisinopril', 'metformin', 'allergy', 'aspirin', 'temperature', '99', '3C', 'blood pressure', '90 mmHg', 'pulse', 'min', 'respirations', 'min', 'Physical examination reveals', 'diaphoretic', 'distressed woman', 'electrocardiogram reveals ST elevations', 'leads I', 'aVL', 'V5', 'admitted', 'plans', 'immediate transport', 'catheterization lab', 'stent placement', 'mechanism', 'next medication', 'given', 'patient']}"
ReClor,reading_comp_mcq,train_3532,"Of the following, which one best illustrates the principle illustrated by the stated advantage of using albumin as a substitute for plasma?","Albumin, one element of blood plasma, is an effective substitute for plasma in treating or preventing shock, the collapse of blood vessels due to a drop in the liquid volume of the bloodstream. Injected into the bloodstream, albumin absorbs enough liquid from surrounding tissues to keep the blood vessels open. It has an advantage over plasma because it can be made available for emergencies while taking up a fraction of the shipping and storage space of plasma.","['A', 'B', 'C', 'D']","['A newspaper can increase advertising revenue without increasing its bulk or weight if it is printed in a smaller format.', 'Hardbound books can be a better choice than paperbacks despite their extra bulk if the books need to be more durable than paperbacks.', 'An advantage that compact discs have over vinyl records is that they are also used for storing information for computers, so advances in computer disc technology will probably apply to compact discs used for music.', 'Dehydrated foods have much the same food value as ordinary foods and are more convenient for hikers because they are lighter and take up less space in backpacks.']",D,3,Dehydrated foods have much the same food value as ordinary foods and are more convenient for hikers because they are lighter and take up less space in backpacks.,,,{}
MMLU,mcq,,"My friend got married. His mother carried two bags of cotton from the countryside by bus and train to his city. After arriving at the city, there was still a long way to his house without any bus passing by the house. His mother walked to his home breathlessly for 40 minutes without taking a taxi in order to save money. My friend felt bitter as well as funny at his mother's deeds. He pointed to the cashmere and silk quilts and said, ""So long as you have money, you can buy anything in the supermarket. There is no need for you to carry so much cotton here in such a long way."" But his mother insisted and said, ""The cotton of this year is light and warmth-keeping. Have a try and you will know!"" Maybe every parent is the same, caring for their children with stubborn love without caring about whether they know or like it. This early spring, I went to visit my grandmother. We had dry beans stew  , eggplant salad bar, sauce radish  for our dinner, all of which were dried by my grandmother last autumn and tasted wonderful. I loved the dishes to my heart's content and could not help praising them again and again. After a few days, my grandmother, who seldom visited us, came to my home and unpacked her bag, smilingly taking out bags of dried eggplants, dried beans and dried vegetable. She told me that I left so hastily last time that she forgot to give me some of these foods, so she took this chance to bring me what I liked. I was speechless at that time. Due to my casual complimentary her food, my grandmother, a nearly 70-year-old lady, by taking three buses from the west of the city to the east, came to my home with the food I liked. But she was bus-sick in life and even seldom went strolling in the street. My pretty girlfriend had a failed marriage in the past. After divorce, her parents shed the deepest protection and care to her by helping her attend to the child and offering financial aids. Her parents' love made her pull herself together and forgot the man who had hurt her before. Nonetheless, her father, an honest and upright old man, after hearing his ex-son-in-law got promoted in his company, felt terrifically irritated and went to his company to question his boss why a philandering man with corrupt conducts could get promoted. The whole office fell into a mess immediately and many staff just watched on the sidelines. Some people even whispered lightly, ""It is a new era now and the relationship between men and women is very open. No one would care about that anymore!"" The old man stood silently in the office with his hands shivering and eyes tearing. That night, my girlfriend cried heavily in front of me. I asked her whether it was her father's stupid deeds that made her feel _ But she said that she felt guilty for her dad and that though the rest of the whole world betrayed her, her old father would still back her up and help her get the justice she deserved, just as when she was young and the neighboring boy grabbed her ball, her father would get it back for her. However, this changed world was no longer the stage for her old father and his deeds became funnily obsolete. No one managed to see the real and ever-lasting love to his daughter behind his seemingly rude behaviors. Now we have grown up so much so that we could support our family and have our own children. But in our parents' heart, they are still worried that we do not have sufficient quilts and dried vegetables. They would not feel troubled to bring all these to us regardless of long tough journey. They even would not like us to suffer a bit and try all means to protect us without caring about whether what they do is awkward and stupid or not. Who in the world would love us so deeply and relentlessly without asking for any repay? Only our parents! After the author's girlfriend's former husband got promoted, her father   _  .",,"['A', 'B', 'C', 'D']","['congratulated him', 'made his daughter marry him again', 'had a quarrel with him', 'argued with his boss']",D,3,argued with his boss,,,{}
ARC-Easy,mcq_science,MCAS_2016_5_13,Which of the following describes an instinctive behavior?,,"['A', 'B', 'C', 'D']","['a behavior that occurs only in adult fish', 'a behavior that occurs only in small mammals', 'a behavior that an animal learns how to do over time', 'a behavior that an animal is born knowing how to do']",D,3,a behavior that an animal is born knowing how to do,,,{}
ReClor,reading_comp_mcq,train_2200,"Which of the following, if true, most seriously weakens the claim that the prediction of a teacher shortage as early as next academic year is unfounded?","While the total enrollment of public elementary and secondary schools in Sondland is one percent higher this academic year than last academic year, the number of teachers there increased by three percent. Thus, the Sondland Education Commission' s prediction of a teacher shortage as early as next academic year is unfounded.","['A', 'B', 'C', 'D']","['Because of reductions in funding, the number of students enrolling in teacher-training programs in Sondland is expected to decline beginning in the next academic year.', 'Funding for public elementary schools in Sondland is expected to increase over the next ten years.', ""A new law has mandated that there be ten percent more teachers per pupil in Sondland's public schools next academic year than there were this academic year."", ""Average salaries for Sondland's teachers increased at the rate of inflation from last academic year to this academic year.""]",C,2,A new law has mandated that there be ten percent more teachers per pupil in Sondland's public schools next academic year than there were this academic year.,,,{}
ReClor,reading_comp_mcq,train_530,"Which one of the following, if true, most weakens the columnist's argument?","Columnist: Contrary to what many people believe, the number of species on Earth is probably not dwindling. Extinction is a natural process, and about as many species are likely to go extinct this year as went extinct in 1970. But the emergence of new species is also a natural process; there is no reason to doubt that new species are emerging at about the same rate as they have been for the last several centuries.","['A', 'B', 'C', 'D']","['In 1970 fewer new species emerged than went extinct.', 'The regions of the world where new species tend to emerge at the highest rate are also where species tend to go extinct at the highest rate.', 'Scientists are now better able to identify species facing serious risk of extinction than they were in 1970.', 'The vast majority of the species that have ever existed are now extinct.']",A,0,In 1970 fewer new species emerged than went extinct.,,,{}
AQUA-RAT,mcq_rationale,,"A certain bus driver is paid a regular rate of $16 per hour for any number of hours that does not exceed 40 hours per week. For any overtime hours worked in excess of 40 hours per week, the bus driver is paid a rate that is 75% higher than his regular rate. If last week the bus driver earned $948 in total compensation, how many total hours did he work that week?",,"['A', 'B', 'C', 'D', 'E']","['36', '40', '44', '48', '51']",E,4,51,"For 40 hrs = 40*16=640
Excess = 948-640=308
For extra hours =.75(16)=12+16=28
Number of extra hrs =308/28=77/7=11
Total hrs =40+11=51
Answer E 51",,{}
MedQA,mcq_medical,,"A 10-year-old girl is brought to the physician by her parents due to 2 months of a progressively worsening headache. The headaches were initially infrequent and her parents attributed them to stress from a recent move. However, over the last week the headaches have gotten significantly worse and she had one episode of vomiting this morning when she woke up. Her medical history is remarkable for a hospitalization during infancy for bacterial meningitis. On physical exam, the patient has difficulty looking up. The lower portion of her pupil is covered by the lower eyelid and there is sclera visible below the upper eyelid. A magnetic resonance imaging (MRI) of the brain is shown. Which of the following is the most likely diagnosis?",step1,"['A', 'B', 'C', 'D']","['Craniopharyngioma', 'Pinealoma', 'Ependymoma', 'Pituitary Ademona']",B,1,Pinealoma,,,"{'metamap_phrases': ['A 10 year old girl', 'brought', 'physician', 'parents due to', 'months', 'worsening headache', 'headaches', 'initially infrequent', 'parents attributed', 'stress', 'recent move', 'last week', 'headaches', 'gotten', 'worse', 'one episode of vomiting', 'morning', 'woke up', 'medical history', 'hospitalization', 'infancy', 'bacterial meningitis', 'physical exam', 'patient', 'difficulty looking', 'lower portion', 'pupil', 'covered', 'lower eyelid', 'sclera visible', 'upper eyelid', 'magnetic resonance imaging', 'brain', 'shown', 'following', 'most likely diagnosis']}"
SciQ,mcq_science,,What type of lines run next to each other?,"Contour lines run next to each other. Each contour line is separated by a constant difference in elevation, usually noted on the map.","['A', 'B', 'C', 'D']","['contour lines', 'perpendicular lines', 'crater lines', 'fault lines']",A,0,contour lines,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ReClor,reading_comp_mcq,train_3282,"Which of the following, if true, most helps to explain the contrasting incidence of pellagra described above?","Maize contains the vitamin niacin, but not in a form the body can absorb. Pellagra is a disease that results from niacin deficiency. When maize was introduced into southern Europe from the Americas in the eighteenth century, it quickly became a dietary staple, and many Europeans who came to subsist primarily on maize developed pellagra. Pellagra was virtually unknown at that time in the Americas, however, even among people who subsisted primarily on maize.","['A', 'B', 'C', 'D']","['In southern Europe many of the people who consumed maize also ate niacin-rich foods.', 'Once introduced into southern Europe, maize became popular with landowners because of its high yields relative to other cereal crops.', ""Before the discovery of pellagra's link with niacin, it was widely believed that the disease was an infection that could be transmitted from person to person."", ""Traditional ways of preparing maize in the Americas convert maize's niacin into a nutritionally useful form.""]",D,3,Traditional ways of preparing maize in the Americas convert maize's niacin into a nutritionally useful form.,,,{}
ARC-Easy,mcq_science,Mercury_7109550,"All stars start forming in the same manner. Some follow the life cycle of the Sun, while others turn into neutron stars or black holes. Which property determines the fate of a star as it develops?",,"['A', 'B', 'C', 'D']","['mass', 'location', 'luminosity', 'temperature']",A,0,mass,,,{}
ARC-Easy,mcq_science,Mercury_7013493,A student needs to find the mass of an atom. The numbers of which atomic particles determines the mass of the atom?,,"['A', 'B', 'C', 'D']","['only its protons', 'only its electrons', 'both its protons and neutrons', 'both its neutrons and electrons']",C,2,both its protons and neutrons,,,{}
ARC-Easy,mcq_science,NYSEDREGENTS_2007_8_27,What is one factor that contributes to seasons occurring in New York State?,,"['1', '2', '3', '4']","['the revolution of the Moon around Earth', 'the tilt of Earth on its axis', 'the rising and falling of ocean tides', 'the distance of Earth from the Sun']",2,1,the tilt of Earth on its axis,,,{}
SciQ,mcq_science,,Solar and wind are still expensive compared to what?,Solar and wind are still expensive relative to fossil fuels. The technology needs to advance so that the price falls.,"['A', 'B', 'C', 'D']","['fossil fuels', 'electricity', 'coal fuels', 'batteries']",A,0,fossil fuels,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ARC-Easy,mcq_science,Mercury_7077630,The smallest part of an element that retains the properties of the element is the,,"['A', 'B', 'C', 'D']","['proton.', 'nucleus.', 'electron.', 'atom.']",D,3,atom.,,,{}
ReClor,reading_comp_mcq,train_1958,Which one of the following most logically completes the educator's argument?,"Educator: Only those students who are genuinely curious about a topic can successfully learn about that topic. They find the satisfaction of their curiosity intrinsically gratifying, and appreciate the inherent rewards of the learning process itself. However, almost no child enters the classroom with sufficient curiosity to learn successfully all that the teacher must instill. A teacher' s job, ttherefore, __.","['A', 'B', 'C', 'D']","['requires for the fulfillment of its goals the stimulation as well as the satisfaction of curiosity', 'becomes easier if students realize that some learning is not necessarily enjoyable', ""is facilitated by students' taking responsibility for their own learning"", 'necessitates the creative use of rewards that are not inherent in the learning process itself']",A,0,requires for the fulfillment of its goals the stimulation as well as the satisfaction of curiosity,,,{}
MedQA,mcq_medical,,"A 37-year-old man comes to the emergency department for severe eye pain. The patient reports that he is a construction worker and was drilling metal beams when he suddenly felt a sharp pain in his right eye. Since then, the vision in his right eye has seemed blurry and his eye “has not stopped tearing.” The patient’s medical history is significant for type II diabetes mellitus and hypertension. His medications include metformin, captopril, and lovastatin. He has a mother with glaucoma, and both his brother and father have coronary artery disease. Upon physical examination, there is conjunctival injection present in the right eye with no obvious lacerations to the eyelids or defects in extraocular eye movements. Pupils are equal and reactive to light. No afferent pupillary defect is appreciated. The unaffected eye has 20/20 visual acuity. The patient refuses to participate in the visual acuity exam of the right eye due to pain. Which of the following is the best initial step in management?",step2&3,"['A', 'B', 'C', 'D']","['Fluorescein stain', 'Orbital magnetic resonance imaging', 'Tonometry', 'Topical corticosteroids']",A,0,Fluorescein stain,,,"{'metamap_phrases': ['year old man', 'emergency department', 'severe eye pain', 'patient reports', 'construction worker', 'drilling metal beams', 'felt', 'sharp pain in', 'right eye', 'then', 'vision', 'right', 'blurry', 'eye', 'not stopped tearing', 'patients medical history', 'significant', 'type II diabetes mellitus', 'hypertension', 'medications include metformin', 'captopril', 'lovastatin', 'mother', 'glaucoma', 'brother', 'father', 'coronary artery disease', 'physical examination', 'conjunctival present', 'right eye', 'lacerations', 'eyelids', 'defects', 'extraocular eye movements', 'Pupils', 'equal', 'reactive to light', 'afferent pupillary defect', 'unaffected eye', '20/20 visual acuity', 'patient refuses to', 'visual acuity exam', 'right eye', 'pain', 'following', 'best initial step', 'management']}"
ReClor,reading_comp_mcq,train_1181,The claim that dream content varies enormously plays which one of the following roles in the argument?,"Psychologist: Some psychologists mistakenly argue that because dreams result from electrical discharges in the brain, they must be understood purely in terms of their physiological function. They conclude, against Freud, that dreams reveal nothing about the character of the dreamer. But since dream content varies enormously, then even if electrical discharges provide the terms of the physiological explanation of dreams, they cannot completely explain the phenomenon of dreaming.","['A', 'B', 'C', 'D']","['It is used to illustrate the difficulty of providing a complete explanation of the phenomenon of dreaming.', 'It is used to support the explicitly stated conclusion that a fully satisfactory account of dreams must allow for the possibility of their revealing significant information about the dreamer.', 'It is used to support the anti-Freudian conclusion that some psychologists draw concerning dreams.', ""It is used to undermine a claim that some psychologists use to argue against a view of Freud's.""]",D,3,It is used to undermine a claim that some psychologists use to argue against a view of Freud's.,,,{}
MMLU,mcq,,"The Basics of Math--Made Clear Basic Math introduces students to the basic concepts of mathematics, as well as the fundamentals of more tricky areas. These 30 fantastic lectures are designed to provide students with an understanding of arithmetic and to prepare them for Algebra  and beyond. The lessons in Basic Math cover every basic aspect of arithmetic. They also look into exponents , the order of operations, and square roots. In addition to learning how to perform various mathematical operations, students discover why these operations work, how a particular mathematical topic relates to other branches of mathematics, and how these operations can be used practically. Basic Math starts from the relatively easier concepts and gradually moves on to the more troublesome ones, so as to allow for steady and sure understanding of the material by students. The lectures offer students the chance to ""make sense"" of mathematical knowledge that may have seemed so frightening. They also help students prepare for college mathematics and overcome their anxiety about this amazing--and completely understandable--field of study. By the conclusion of the course, students will have improved their understanding of basic math. They will be able to clear away the mystery  of mathematics and face their studies with more confidence than they ever imagined. In addition, they will strengthen their ability to accept new and exciting mathematical challenges. Professor H. Siegel, honored by Kentucky Educational Television as ""the best math teacher in America,"" is a devoted teacher and has a gift for explaining mathematical concepts in ways that make them seem clear and obvious. From the basic concrete ideas to the more abstract problems, he is master in making math lectures learner-friendlier and less scary. With a PhD in Mathematics Education from Georgia State University, Dr. Siegel teaches mathematics at Central Arizona College. His courses include various make-up classes and a number of lectures for future primary school teachers. If the course fails to provide complete satisfaction to you, you can easily exchange it for any other course that we offer. Or you can get your money back. What benefits can students expect from Basic Math?",,"['A', 'B', 'C', 'D']","['Stronger imaginative ability.', 'Additional presentation skills.', 'More mathematical confidence.', 'Greater chances of becoming teachers.']",C,2,More mathematical confidence.,,,{}
MedQA,mcq_medical,,"A 59-year-old female presents to your office with complaints of progressive numbness and tingling in her fingers and toes over the last several months. She also reports ""feeling weak"" in her arms and legs. The patient's past medical history is significant for hypertension and Crohn's disease, which has been well-controlled since undergoing an ileocolectomy 7 years ago. Physical examination is significant for the following findings: decreased sensation to light touch, temperature, and vibration in the bilateral lower extremities; ataxia; positive Romberg sign. Deficiency of which of the following is most likely responsible for this patient's symptoms?",step1,"['A', 'B', 'C', 'D']","['Vitamin B2', 'Vitamin B3', 'Vitamin B6', 'Vitamin B12']",D,3,Vitamin B12,,,"{'metamap_phrases': ['59 year old female presents', 'office', 'complaints', 'progressive numbness', 'tingling in', 'fingers', 'toes', 'months', 'reports', 'feeling weak', 'arms', 'legs', 'patient', 'ast ', 'ignificant ', 'ypertension ', ""rohn'"", 'sease, ', 'll-controlled s nce u', 'eocolectomy 7', 'ars a', 'ysical examination i', 'gnificant f', 'llowing f ndings: ', 'creased s', 'ght t', 'mperature, ', 'bration i', 'lateral lower extremities; ', 'axia; ', 'sitive Romberg sign. ', 'ficiency o', 'llowing i', 'st likely r sponsible f', ""tient's"", 'ptoms?']}"
SciQ,mcq_science,,What is the biggest group of animals on the planet?,"How often do you think you see an arthropod? Well, have you ever looked up close at an ant? A spider? A fly? A moth? With over a million described species (and many more yet to be described) in the phylum containing arthropods, chances are, you encounter one of these organisms every day, without even leaving your house. Arthropods are a very diverse group of animals. In fact, they are the biggest group of animals on the planet, with upwards of 5 million distinct species.","['A', 'B', 'C', 'D']","['arthropods', 'herbivores', 'mammles', 'carnivores']",A,0,arthropods,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ReClor,reading_comp_mcq,train_1365,"In the city official's argument, the two boldface portions play which of the following roles?","City Official: At City Hospital, uninsured patients tend to have shorter stays and fewer procedures performed than do insured patients, even though insured patients, on average, have slightly less serious medical problems at the time of admission to the hospital than uninsured patients have. Critics of the hospital have concluded that <b> the uninsured patients are not receiving proper medical care </b>. However, <b> this conclusion is almost certainly false </b>. Careful investigation has recently shown two things: insured patients have much longer stays in the hospital than necessary, and they tend to have more procedures performed than are medically necessary.","['A', 'B', 'C', 'D']","[""The first states the position that the city official's argument opposes; the second states the conclusion of the city official's argument."", ""The first was used to support the conclusion drawn by hospital critics; the second provides support for the conclusion of the city official's argument."", ""The first was used to support the conclusion drawn by hospital critics; the second states the position that the city official's argument opposes."", ""The first is used to support the conclusion of the city official's argument; the second states that conclusion.""]",A,0,The first states the position that the city official's argument opposes; the second states the conclusion of the city official's argument.,,,{}
ARC-Easy,mcq_science,Mercury_7210928,"Which resource, abundant in Nevada, is nonrenewable?",,"['A', 'B', 'C', 'D']","['copper', 'wind', 'sunlight', 'wood']",A,0,copper,,,{}
MMLU,mcq,,"Reading Oliver James'Affluenza, I thought about what often happens at home. My 12-year-old daughter is in tears.""I have so take a test tomorrow. I don't understand any of it,"" she cries out. After shouting and shutting her door, she calms down enough to go through her notes. The following dry I ask her how the test went and the just says ""OK,I got a nine"". ""Wow. well done!"" I say, before she finishes with ""But I never get a ten!"" According to James, this _ with getting top marks has been a bad development, which encourages people to think of education in terms of work and money. To test this, I asked my daughter why she was so worried about her tests. She looked at me as if I was thick. ""Well, if I don't get good grades, I won't be able to afford nice things like a car and stuff."" I was quite surprised, because I don't consider myself a pushy parent. But James suggests and it leaves students feeling failures even if they are very bright. He points to the Danish system of education as a better model. Creating happy citizens who have good social skills is seen as more important than high achievements at school or the needs of business. For me, I cannot remember the last time I had to work out the area of a circle, recite a Shakespeare poem or grammar rules, yet I have lived a happy life. What I really needed to learn at school was how to make polite conversations, or how to avoid getting into debt or how to develop good personality. This is in fact similar to what Oliver James really has in mind. And he is looking for schools where students are encouraged to find and follow their own interests, something more like Tongjon. Tongjon has been developed in some Korean private schools. It is quite different from the more rigid system of learning things by heart that is used in Korea, and indeed in many other school systems around the world. As the Russian poet Pushkin said,"" Inspiration is needed in geometry just as much as in poetry "",and inspiration does not come from endlessly revising for tests or getting worried about them . What does the writer probably think of his/her daughter?",,"['A', 'B', 'C', 'D']","['She sets herself a goal too high to reach.', 'She should be more polite to her parents.', 'She is hard-working but not very bright.', 'She takes her grades much too seriously.']",D,3,She takes her grades much too seriously.,,,{}
MMLU,mcq,,"Forests have always been useful and important to man who makes use of them in many ways. Every day trees are serving man everywhere. Trees supply man with fruits and building materials in the form of wood. Without trees it would be impossible to build houses, boats, bridges and so on. Furniture such as desks, chairs and beds is made of wood. Trees can stop man from terrible heat. They're also useful in preventing good and rich top soil from being washed away during heavy rains. If there were no trees, heavy rains would wash away the rich top soil that is so important to plants. The result is that the land will become a desert. There are plenty of desert areas in the world. A long time ago these desert areas used to be very rich areas, but man in the past had no enough knowledge about science of nature, they cut down too many trees in the area where they lived and never planted new ones. By and by the rich top soil was blown and washed away by strong winds and heavy rains. In the end the rich land changed into useless deserts where nothing could grow. From the passage, we know that man must   _  .",,"['A', 'B', 'C', 'D']","['do nothing to keep the balance of nature', 'take his best to keep the balance of nature', 'try his best to keep the balance of nature', 'do his best to stop the balance of nature']",C,2,try his best to keep the balance of nature,,,{}
MMLU,mcq,,"Whether you prefer burning the midnight oil or going to bed early so you can get up at the break of dawn depends on your genes , according to experts. I jump out of bed each morning, eager to start an active day. But I can hear my neighbour's        alarm clock ringing non-stop every morning and I doubt he gets to work on time. A lot of noise comes from his flat in the evening. He's happy to stay up watching TV till after midnight, while I go to bed early and try to sleep. Well, it might not be his fault after all. I'm called 'a lark  ' and my neighbour 'an owl  '. We all have inside 'clocks' in the brain to control all kinds of bodily functions and it is reset every day by light. These inside clocks run to a different schedule in 'larks' and 'owls'. If you have a fast clock, you like to do things early, and if you have a slow clock, you like to do things late. Because we live in a 24/7 world, scientists believe it's important to understand a person's 'chronotype' - the time of the day when they function the best. It could help us lead a healthier life. A US professor has studied sleeping patterns and thinks work times should be changed and made more individual to fit in with our chronotypes. And he has advice for those who can't choose their working hours: ""If that's not possible, we should be more careful about light exposure"", says the professor. ""You should try to go to work not in a covered vehicle but on a bike. The minute the sun sets we should use things that have no blue light, like computer screens and other electronic devices."" Things with blue light are not recommended after sunset because blue light   _  .",,"['A', 'B', 'C', 'D']","['will make you nervous', 'may cause sleep problems', 'will reduce your work effect', 'may make you sleepy']",B,1,may cause sleep problems,,,{}
ARC-Easy,mcq_science,CSZ10244,The digestion process begins in which of the following?,,"['A', 'B', 'C', 'D']","['large intestine', 'mouth', 'small intestine', 'stomach']",B,1,mouth,,,{}
SciQ,mcq_science,,What does power imply is happening to energy?,"Examples of Power Examples of power are limited only by the imagination, because there are as many types as there are forms of work and energy. (See Table 7.3 for some examples. ) Sunlight reaching Earth’s surface carries a maximum power of about 1.3 kilowatts per square meter (kW/m 2). A tiny fraction of this is retained by Earth over the long term. Our consumption rate of fossil fuels is far greater than the rate at which they are stored, so it is inevitable that they will be depleted. Power implies that energy is transferred, perhaps changing form. It is never possible to change one form completely into another without losing some of it as thermal energy. For example, a 60-W incandescent bulb converts only 5 W of electrical power to light, with 55 W dissipating into thermal energy. Furthermore, the typical electric power plant converts only 35 to 40% of its fuel into electricity. The remainder becomes a huge amount of thermal energy that must be dispersed as heat transfer, as rapidly as it is created. A coal-fired power 6 plant may produce 1000 megawatts; 1 megawatt (MW) is 10 W of electric power. But the power plant consumes chemical energy at a rate of about 2500 MW, creating heat transfer to the surroundings at a rate of 1500 MW. (See Figure 7.25.","['A', 'B', 'C', 'D']","['being transferred', 'is expanding', 'being destroyed', 'being created']",A,0,being transferred,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
